t,contact_diameter,drop_height,contact_angle,150t,150contact_diameter,150drop_height,150contact_angle,actual_angle,at,acontact_diameter,adrop_height,acontact_angle,act
1240000,81,36,83.26707867,1240000,17,41,156.5750554,-23.42494462,,,,,
1250000,81,36,83.26707867,1250000,17,40,156.0062014,-23.99379862,,,,,
1260000,81,35,81.66699023,1260000,17,40,156.0062014,-23.99379862,,,,,
1270000,81,35,81.66699023,1270000,17,40,156.0062014,-23.99379862,,,,,
1280000,81,35,81.66699023,1280000,15,39,158.2289459,-21.77105411,,,,,
1290000,79,35,83.08676166,1290000,15,39,158.2289459,-21.77105411,,,,,
1300000,79,35,83.08676166,1300000,15,39,158.2289459,-21.77105411,,,,,
1310000,79,35,83.08676166,1310000,15,38,157.6702396,-22.32976036,,,,,
1320000,79,34,81.44107294,1320000,15,38,157.6702396,-22.32976036,,,,,
1330000,79,34,81.44107294,1330000,15,38,157.6702396,-22.32976036,,,,,
1340000,77,34,82.89653329,1340000,15,37,157.0824953,-22.91750469,,,,,
1350000,77,34,82.89653329,1350000,13,37,160.0723916,-19.92760838,,,,,
1360000,77,34,82.89653329,1360000,13,37,160.0723916,-19.92760838,,,,,
1370000,77,34,82.89653329,1370000,13,36,159.5303945,-20.46960553,,,,,
1380000,77,34,82.89653329,1380000,13,36,159.5303945,-20.46960553,,,,,
1390000,75,33,82.69555444,1390000,13,36,159.5303945,-20.46960553,,,,,
1400000,75,33,82.69555444,1400000,13,35,158.9584314,-21.04156863,,,,,
1410000,75,33,82.69555444,1410000,11,35,162.1388198,-17.8611802,,,,,
1420000,75,33,82.69555444,1420000,11,34,161.6223278,-18.37767215,,,,,
1430000,75,33,82.69555444,1430000,11,34,161.6223278,-18.37767215,,,,,
1440000,73,33,84.23407309,1440000,11,34,161.6223278,-18.37767215,,,,,
1450000,73,32,82.48288863,1450000,11,33,161.0753556,-18.92464442,,,,,
1460000,73,32,82.48288863,1460000,11,33,161.0753556,-18.92464442,,,,,
1470000,73,32,82.48288863,1470000,11,32,160.4951501,-19.50484988,,,,,
1480000,73,32,82.48288863,1480000,9,32,163.9905423,-16.00945771,,,,,
1490000,71,32,84.06353194,1490000,9,32,163.9905423,-16.00945771,,,,,
1500000,71,32,84.06353194,1500000,9,31,163.481124,-16.51887596,,,,,
1510000,71,32,84.06353194,1510000,9,31,163.481124,-16.51887596,,,,,
1520000,71,31,82.25748754,1520000,9,30,162.9384688,-17.06153122,,,,,
1530000,69,31,83.88260485,1530000,9,30,162.9384688,-17.06153122,,,,,
1540000,69,31,83.88260485,1540000,7,29,166.2365527,-13.76344726,,,,,
1550000,69,31,83.88260485,1550000,7,29,166.2365527,-13.76344726,,,,,
1560000,69,31,83.88260485,1560000,7,29,166.2365527,-13.76344726,,,,,
1570000,69,31,83.88260485,1570000,7,28,165.7499673,-14.2500327,,,,,
1580000,67,30,83.69031427,1580000,7,28,165.7499673,-14.2500327,,,,,
1590000,67,30,83.69031427,1590000,7,27,165.2279137,-14.7720863,,,,,
1600000,67,30,83.69031427,1600000,5,27,169.4198376,-10.58016241,,,,,
1610000,67,30,83.69031427,1610000,5,26,169.0153509,-10.98464911,,,,,
1620000,65,30,85.41877991,1620000,5,25,168.5788137,-11.42118627,,,,,
1630000,65,30,85.41877991,1630000,5,25,168.5788137,-11.42118627,,,,,
1640000,65,30,85.41877991,1640000,5,24,168.1062739,-11.89372611,,,,,
1650000,65,29,83.48555612,1650000,5,24,168.1062739,-11.89372611,,,,,
1660000,63,29,85.26750402,1660000,3,23,172.537206,-7.462793998,,,,,
1670000,63,29,85.26750402,1670000,3,22,172.1990125,-7.800987485,,,,,
1680000,63,29,85.26750402,1680000,3,22,172.1990125,-7.800987485,,,,,
1690000,63,29,85.26750402,1690000,3,21,171.8287664,-8.17123356,,,,,
1700000,61,29,87.11174894,1700000,1,20,177.1358076,-2.864192368,,,,,
1710000,61,28,85.10590272,1710000,1,20,177.1358076,-2.864192368,,,,,
1720000,61,28,85.10590272,1720000,1,19,176.9851285,-3.014871518,,,,,
1730000,61,28,85.10590272,1730000,1,18,176.8177195,-3.182280542,,,,,
1740000,59,28,87.01133282,1740000,1,17,176.6306314,-3.369368636,,,,,
1750000,59,28,87.01133282,1750000,1,16,176.4201788,-3.579821216,,,,,
1760000,59,28,87.01133282,1760000,1,15,176.1816951,-3.818304866,,,,,
1770000,59,27,84.93288222,1770000,1,14,175.909183,-4.090816978,,,,,
1780000,57,27,86.9036846,1780000,1,12,175.2281119,-4.771888061,,,,,
1790000,57,27,86.9036846,1790000,1,10,174.2751895,-5.724810452,,,,,
1800000,57,27,86.9036846,1797046,0,0,0,-180,,,,,
1810000,57,27,86.9036846,,,,,,,,,,
1820000,55,26,86.78799402,,,,,,,,,,
1830000,55,26,86.78799402,,,,,,,,,,
1840000,55,26,86.78799402,,,,,,,,,,
1850000,55,26,86.78799402,,,,,,,,,,
1860000,53,26,88.90868481,,,,,,,,,,
1870000,53,26,88.90868481,,,,,,,,,,
1880000,53,25,86.6633251,,,,,,,,,,
1890000,53,25,86.6633251,,,,,,,,,,
1900000,51,25,88.86546718,,,,,,,,,,
1910000,51,25,88.86546718,,,,,,,,,,
1920000,51,25,88.86546718,,,,,,,,,,
1930000,49,24,88.81868557,,,,,,,,,,
1940000,49,24,88.81868557,,,,,,,,,,
1950000,49,24,88.81868557,,,,,,,,,,
1960000,49,24,88.81868557,,,,,,,,,,
1970000,47,24,91.20618239,,,,,,,,,,
1980000,47,23,88.76788018,,,,,,,,,,
1990000,47,23,88.76788018,,,,,,,,,,
2000000,47,23,88.76788018,,,,,,,,,,
2010000,45,23,91.25919722,-88.74080278,,,,,,,,,
2020000,45,23,91.25919722,-88.74080278,,,,,,,,,
2030000,45,22,88.71250857,88.71250857,,,,,,,,,
2040000,43,22,91.31708636,-88.68291364,,,,,,,,,
2050000,43,22,91.31708636,-88.68291364,,,,,,,,,
2060000,43,22,91.31708636,-88.68291364,,,,,,,,,
2070000,41,21,91.3805544,-88.6194456,,,,,,,,,
2080000,41,21,91.3805544,-88.6194456,,,,,,,,,
2090000,41,21,91.3805544,-88.6194456,,,,,,,,,
2100000,41,21,91.3805544,-88.6194456,,,,,,,,,
2110000,39,20,91.4504486,-88.5495514,,,,,,,,,
2120000,39,20,91.4504486,-88.5495514,,,,,,,,,
2130000,39,20,91.4504486,-88.5495514,,,,,,,,,
2140000,37,20,94.46234922,-85.53765078,,,,,,,,,
2150000,37,19,91.52779692,-88.47220308,,,,,,,,,
2160000,37,19,91.52779692,-88.47220308,,,,,,,,,
2170000,35,19,94.70659373,-85.29340627,,,,,,,,,
2180000,35,18,91.61385891,-88.38614109,,,,,,,,,
2190000,35,18,91.61385891,-88.38614109,,,,,,,,,
2200000,33,18,94.97910584,-85.02089416,,,,,,,,,
2210000,33,18,94.97910584,-85.02089416,,,,,,,,,
2220000,33,17,91.71019479,-88.28980521,,,,,,,,,
2230000,31,17,95.28509059,-84.71490941,,,,,,,,,
2240000,31,17,95.28509059,-84.71490941,,,,,,,,,
2250000,29,16,95.63111337,-84.36888663,,,,,,,,,
2260000,29,16,95.63111337,-84.36888663,,,,,,,,,
2270000,29,16,95.63111337,-84.36888663,,,,,,,,,
2280000,27,15,96.02557501,-83.97442499,,,,,,,,,
2290000,27,15,96.02557501,-83.97442499,,,,,,,,,
2300000,25,14,96.47940059,-83.52059941,,,,,,,,,
2310000,25,14,96.47940059,-83.52059941,,,,,,,,,
2320000,25,14,96.47940059,-83.52059941,,,,,,,,,
2330000,23,13,97.00706329,-82.99293671,,,,,,,,,
2340000,23,13,97.00706329,-82.99293671,,,,,,,,,
2350000,21,12,97.62814967,-82.37185033,,,,,,,,,
2360000,21,12,97.62814967,-82.37185033,,,,,,,,,
2370000,19,11,98.36983225,-81.63016775,,,,,,,,,
2380000,17,10,99.27092685,-80.72907315,,,,,,,,,
2390000,17,10,99.27092685,-80.72907315,,,,,,,,,
2400000,15,9,100.3888578,-79.61114218,,,,,,,,,
2410000,13,8,101.8122822,-78.18771777,,,,,,,,,
2420000,11,7,103.6855468,-76.31445317,,,,,,,,,
2430000,9,6,106.2602047,-73.73979529,,,,,,,,,
2435413,0,0,0,,,,,,,,,,
