condn_t,condn_diameter,condn_height,condn_slope,evpn_t,evpn_diameter,evpn_height,evpn_slope
,,,,132000,31.08873612,15.40069282,90
,,,,133000,31.04413917,15.38021243,90
,,,,134000,30.99936897,15.35971799,90
,,,,135000,30.95442144,15.33920694,90
,,,,136000,30.90929238,15.31867669,90
,,,,137000,30.86397746,15.29812464,90
,,,,138000,30.81847225,15.27754819,90
,,,,139000,30.77277219,15.25694473,90
,,,,140000,30.72687259,15.23631166,90
,,,,141000,30.68076866,15.21564633,90
,,,,142000,30.63445547,15.19494611,90
,,,,143000,30.58792799,15.17420836,90
,,,,144000,30.54118105,15.15343042,90
,,,,145000,30.49420937,15.13260962,90
,,,,146000,30.44700756,15.11174327,90
,,,,147000,30.39957009,15.09082869,90
,,,,148000,30.3518913,15.06986317,90
,,,,149000,30.30396544,15.04884399,90
,,,,150000,30.25578662,15.02776841,90
,,,,151000,30.20734881,15.00663367,90
,,,,152000,30.15864589,14.98570067,90
,,,,153000,30.10967159,14.96490521,90
,,,,154000,30.06041952,14.94413955,90
,,,,155000,30.01088318,14.92340101,90
,,,,156000,29.96193491,14.90268692,90
,,,,157000,29.9131674,14.8819946,90
,,,,158000,29.86435788,14.86132138,90
,,,,159000,29.8155015,14.84066458,90
,,,,160000,29.76659326,14.82002152,90
,,,,161000,29.71762808,14.79938952,90
,,,,162000,29.66860075,14.7787659,90
,,,,163000,29.61950596,14.75814796,90
,,,,164000,29.57033829,14.73753302,90
,,,,165000,29.52109219,14.71691838,90
,,,,166000,29.47176204,14.69630133,90
,,,,167000,29.42234207,14.67567916,90
,,,,168000,29.37282641,14.65504915,90
,,,,169000,29.3232091,14.63440858,90
,,,,170000,29.27348403,14.61375471,90
,,,,171000,29.223645,14.5930848,90
,,,,172000,29.17368571,14.57239609,90
,,,,173000,29.12359972,14.55168581,90
,,,,174000,29.07338048,14.53095118,90
,,,,175000,29.02302134,14.51018942,90
,,,,176000,28.97251553,14.4893977,90
,,,,177000,28.92185616,14.46857322,90
,,,,178000,28.87103621,14.44771313,90
,,,,179000,28.82004857,14.42681459,90
,,,,180000,28.76888599,14.40587472,90
,,,,181000,28.7175411,14.38489063,90
,,,,182000,28.66600643,14.36385941,90
,,,,183000,28.61427437,14.34277814,90
,,,,184000,28.56233718,14.32164387,90
,,,,185000,28.51018701,14.30045363,90
,,,,186000,28.45781589,14.27920443,90
,,,,187000,28.4052157,14.25789324,90
,,,,188000,28.35237822,14.23651703,90
,,,,189000,28.29929507,14.21507272,90
,,,,190000,28.24595777,14.19355724,90
,,,,191000,28.19235767,14.17196745,90
,,,,192000,28.13848603,14.1503002,90
,,,,193000,28.08433393,14.12855232,90
,,,,194000,28.02989234,14.1067206,90
,,,,195000,27.97570999,14.08480179,90
,,,,196000,27.92211905,14.06279261,90
,,,,197000,27.86852383,14.04068977,90
,,,,198000,27.81491678,14.01848991,90
,,,,199000,27.76129023,13.99625916,90
,,,,200000,27.70763638,13.97432588,90
,,,,201000,27.65394737,13.95239382,90
,,,,202000,27.60021518,13.93046007,90
,,,,203000,27.54643171,13.90852174,90
,,,,204000,27.49258875,13.88657589,90
,,,,205000,27.43867796,13.86461958,90
,,,,206000,27.38469088,13.84264984,90
,,,,207000,27.33061897,13.82066369,90
,,,,208000,27.27645352,13.79865811,90
,,,,209000,27.22218575,13.77663006,90
,,,,210000,27.16780672,13.75457649,90
,,,,211000,27.1133074,13.73249432,90
,,,,212000,27.0586786,13.71038042,90
,,,,213000,27.00391103,13.68823165,90
,,,,214000,26.94899525,13.66604486,90
,,,,215000,26.89392172,13.64381682,90
,,,,216000,26.83868072,13.62154432,90
,,,,217000,26.78326244,13.59922409,90
,,,,218000,26.72765691,13.57685282,90
,,,,219000,26.67185401,13.55442718,90
,,,,220000,26.6158435,13.53194379,90
,,,,221000,26.55961497,13.50939925,90
,,,,222000,26.50315787,13.48679011,90
,,,,223000,26.44646151,13.46411286,90
,,,,224000,26.38951503,13.44136398,90
,,,,225000,26.33230741,13.4185399,90
,,,,226000,26.27482749,13.39563697,90
,,,,227000,26.21706392,13.37265155,90
,,,,228000,26.15900519,13.3495799,90
,,,,229000,26.10063963,13.32641826,90
,,,,230000,26.04195538,13.30316281,90
,,,,231000,25.98332637,13.27980968,90
,,,,232000,25.92553792,13.25635493,90
,,,,233000,25.86775527,13.2327946,90
,,,,234000,25.80996813,13.20912463,90
,,,,235000,25.75216607,13.18534092,90
,,,,236000,25.69433858,13.16143932,90
,,,,237000,25.63647496,13.13741559,90
,,,,238000,25.57856443,13.11326544,90
,,,,239000,25.52059604,13.08898452,90
,,,,240000,25.46255872,13.06456839,90
,,,,241000,25.40444124,13.04001255,90
,,,,242000,25.34623224,13.01531244,90
,,,,243000,25.2879202,12.99065616,90
,,,,244000,25.22949345,12.96624883,90
,,,,245000,25.17094017,12.94181723,90
,,,,246000,25.11224835,12.91735763,90
,,,,247000,25.05340586,12.89286628,90
,,,,248000,24.99440036,12.86833936,90
,,,,249000,24.93521935,12.84377299,90
,,,,250000,24.87585017,12.81916326,90
,,,,251000,24.81627994,12.79450617,90
,,,,252000,24.75649561,12.76979769,90
,,,,253000,24.69648395,12.7450337,90
,,,,254000,24.63623151,12.72021004,90
,,,,255000,24.57572464,12.69532247,90
,,,,256000,24.51494949,12.67036668,90
,,,,257000,24.45389198,12.6453383,90
,,,,258000,24.39253782,12.62023288,90
,,,,259000,24.33087248,12.59504589,90
,,,,260000,24.26888121,12.56977273,90
,,,,261000,24.20654901,12.54440872,90
,,,,262000,24.14386063,12.51894909,90
,,,,263000,24.08080057,12.49338899,90
,,,,264000,24.01735306,12.46772349,90
,,,,265000,23.95464582,12.44194755,90
,,,,266000,23.89230619,12.41605605,90
,,,,267000,23.82994874,12.39004377,90
,,,,268000,23.76755975,12.36390538,90
,,,,269000,23.70512527,12.33763547,90
,,,,270000,23.64263119,12.31122851,90
,,,,271000,23.5800632,12.28467884,90
,,,,272000,23.51740675,12.25798074,90
,,,,273000,23.45464713,12.23112831,90
,,,,274000,23.39176936,12.20411558,90
,,,,275000,23.32875826,12.17693643,90
,,,,276000,23.26559841,12.14958462,90
,,,,277000,23.20227414,12.12205377,90
,,,,278000,23.13876953,12.09433738,90
,,,,279000,23.07506842,12.0664288,90
,,,,280000,23.01115434,12.03832123,90
,,,,281000,22.94701058,12.01000772,90
,,,,282000,22.88262013,11.98189545,90
,,,,283000,22.81796567,11.95393036,90
,,,,284000,22.7530296,11.92591247,90
,,,,285000,22.68779398,11.8978362,90
,,,,286000,22.62224054,11.86969585,90
,,,,287000,22.55635067,11.8414856,90
,,,,288000,22.49010544,11.8131995,90
,,,,289000,22.4234855,11.7848315,90
,,,,290000,22.35647116,11.75637538,90
,,,,291000,22.28904234,11.72782481,90
,,,,292000,22.22117853,11.6991733,90
,,,,293000,22.15285882,11.67041421,90
,,,,294000,22.08406186,11.64154078,90
,,,,295000,22.01476586,11.61254605,90
,,,,296000,21.94634464,11.58342292,90
,,,,297000,21.87819468,11.55416412,90
,,,,298000,21.80997331,11.52476219,90
,,,,299000,21.74166162,11.4952095,90
,,,,300000,21.67324033,11.46549824,90
